ParticipantID,TrialNumber,Condition,RealismLikert_1to7,VisualHapticCongruence_YesNo,Notes
P01,1,MediumVisual_LightHaptic,5,YES,
P01,2,HeavyVisual_LightHaptic,4,NO,
P01,3,HeavyVisual_MediumHaptic,4,NO,
P01,4,MediumVisual_MediumHaptic,7,YES,
P01,5,HeavyVisual_HeavyHaptic,6,YES,
P01,6,LightVisual_HeavyHaptic,2,NO,
P01,7,MediumVisual_HeavyHaptic,4,NO,
P01,8,LightVisual_LightHaptic,7,YES,
P01,9,LightVisual_MediumHaptic,4,NO,
P01,10,HeavyVisual_MediumHaptic,5,NO,
P01,11,LightVisual_HeavyHaptic,4,NO,
P01,12,MediumVisual_HeavyHaptic,4,NO,
P01,13,HeavyVisual_LightHaptic,1,NO,
P01,14,LightVisual_LightHaptic,7,YES,
P01,15,MediumVisual_LightHaptic,4,NO,
P01,16,MediumVisual_MediumHaptic,5,YES,
P01,17,LightVisual_MediumHaptic,4,NO,
P01,18,HeavyVisual_HeavyHaptic,6,YES,
P01,19,LightVisual_HeavyHaptic,2,NO,
P01,20,MediumVisual_HeavyHaptic,6,NO,
P01,21,HeavyVisual_MediumHaptic,3,YES,
P01,22,HeavyVisual_HeavyHaptic,7,YES,
P01,23,HeavyVisual_LightHaptic,2,NO,
P01,24,LightVisual_MediumHaptic,3,NO,
P01,25,MediumVisual_MediumHaptic,5,YES,
P01,26,LightVisual_LightHaptic,6,YES,
P01,27,MediumVisual_LightHaptic,5,YES,
P01,28,HeavyVisual_HeavyHaptic,5,YES,
P01,29,HeavyVisual_MediumHaptic,4,NO,
P01,30,MediumVisual_HeavyHaptic,3,NO,
P01,31,LightVisual_HeavyHaptic,1,NO,
P01,32,MediumVisual_LightHaptic,3,YES,
P01,33,LightVisual_MediumHaptic,2,NO,
P01,34,HeavyVisual_LightHaptic,2,NO,
P01,35,LightVisual_LightHaptic,6,YES,
P01,36,MediumVisual_MediumHaptic,7,YES,
P02,1,HeavyVisual_LightHaptic,3,NO,
P02,2,LightVisual_MediumHaptic,3,YES,
P02,3,MediumVisual_LightHaptic,6,YES,
P02,4,LightVisual_HeavyHaptic,1,NO,
P02,5,MediumVisual_HeavyHaptic,6,NO,
P02,6,LightVisual_LightHaptic,7,YES,
P02,7,HeavyVisual_HeavyHaptic,6,YES,
P02,8,MediumVisual_MediumHaptic,6,YES,
P02,9,HeavyVisual_MediumHaptic,4,NO,
P02,10,HeavyVisual_MediumHaptic,5,NO,
P02,11,MediumVisual_HeavyHaptic,4,NO,
P02,12,LightVisual_HeavyHaptic,3,NO,
P02,13,LightVisual_LightHaptic,6,YES,
P02,14,HeavyVisual_LightHaptic,3,NO,
P02,15,HeavyVisual_HeavyHaptic,6,YES,
P02,16,MediumVisual_LightHaptic,5,NO,
P02,17,MediumVisual_MediumHaptic,7,YES,
P02,18,LightVisual_MediumHaptic,5,NO,
P02,19,HeavyVisual_LightHaptic,2,NO,
P02,20,MediumVisual_LightHaptic,4,NO,
P02,21,MediumVisual_HeavyHaptic,4,NO,
P02,22,LightVisual_MediumHaptic,4,NO,
P02,23,HeavyVisual_MediumHaptic,3,NO,
P02,24,LightVisual_LightHaptic,6,YES,
P02,25,MediumVisual_MediumHaptic,7,YES,
P02,26,LightVisual_HeavyHaptic,2,NO,
P02,27,HeavyVisual_HeavyHaptic,6,NO,
P02,28,MediumVisual_HeavyHaptic,3,YES,
P02,29,LightVisual_MediumHaptic,3,NO,
P02,30,HeavyVisual_LightHaptic,2,NO,
P02,31,HeavyVisual_MediumHaptic,4,NO,
P02,32,MediumVisual_LightHaptic,5,NO,
P02,33,HeavyVisual_HeavyHaptic,6,YES,
P02,34,MediumVisual_MediumHaptic,7,YES,
P02,35,LightVisual_LightHaptic,6,NO,
P02,36,LightVisual_HeavyHaptic,2,NO,
P03,1,LightVisual_HeavyHaptic,3,NO,
P03,2,HeavyVisual_LightHaptic,2,NO,
P03,3,LightVisual_LightHaptic,5,YES,
P03,4,MediumVisual_MediumHaptic,7,YES,
P03,5,MediumVisual_HeavyHaptic,5,NO,
P03,6,HeavyVisual_MediumHaptic,4,NO,
P03,7,HeavyVisual_HeavyHaptic,6,YES,
P03,8,MediumVisual_LightHaptic,5,NO,
P03,9,LightVisual_MediumHaptic,4,NO,
P03,10,MediumVisual_HeavyHaptic,5,NO,
P03,11,MediumVisual_MediumHaptic,7,YES,
P03,12,LightVisual_MediumHaptic,3,NO,
P03,13,HeavyVisual_MediumHaptic,4,NO,
P03,14,HeavyVisual_LightHaptic,2,NO,
P03,15,HeavyVisual_HeavyHaptic,7,YES,
P03,16,MediumVisual_LightHaptic,5,NO,
P03,17,LightVisual_HeavyHaptic,2,NO,
P03,18,LightVisual_LightHaptic,7,YES,
P03,19,MediumVisual_LightHaptic,6,NO,
P03,20,MediumVisual_MediumHaptic,6,YES,
P03,21,LightVisual_LightHaptic,5,YES,
P03,22,MediumVisual_HeavyHaptic,3,NO,
P03,23,LightVisual_HeavyHaptic,2,NO,
P03,24,HeavyVisual_HeavyHaptic,7,YES,
P03,25,LightVisual_MediumHaptic,4,NO,
P03,26,HeavyVisual_MediumHaptic,5,NO,
P03,27,HeavyVisual_LightHaptic,2,NO,
P03,28,HeavyVisual_HeavyHaptic,5,YES,
P03,29,LightVisual_HeavyHaptic,3,NO,
P03,30,HeavyVisual_LightHaptic,2,YES,
P03,31,LightVisual_MediumHaptic,4,NO,
P03,32,MediumVisual_LightHaptic,4,NO,
P03,33,MediumVisual_MediumHaptic,5,YES,
P03,34,HeavyVisual_MediumHaptic,4,YES,
P03,35,LightVisual_LightHaptic,7,YES,
P03,36,MediumVisual_HeavyHaptic,3,YES,
P04,1,HeavyVisual_LightHaptic,2,NO,
P04,2,MediumVisual_MediumHaptic,7,YES,
P04,3,HeavyVisual_HeavyHaptic,7,YES,
P04,4,HeavyVisual_MediumHaptic,4,NO,
P04,5,LightVisual_LightHaptic,7,YES,
P04,6,LightVisual_MediumHaptic,6,NO,
P04,7,MediumVisual_LightHaptic,6,NO,
P04,8,LightVisual_HeavyHaptic,3,NO,
P04,9,MediumVisual_HeavyHaptic,4,NO,
P04,10,MediumVisual_MediumHaptic,5,YES,
P04,11,HeavyVisual_LightHaptic,3,NO,
P04,12,HeavyVisual_MediumHaptic,4,NO,
P04,13,LightVisual_HeavyHaptic,3,NO,
P04,14,LightVisual_LightHaptic,6,YES,
P04,15,LightVisual_MediumHaptic,2,YES,
P04,16,HeavyVisual_HeavyHaptic,7,YES,
P04,17,MediumVisual_LightHaptic,4,NO,
P04,18,MediumVisual_HeavyHaptic,4,NO,
P04,19,MediumVisual_MediumHaptic,6,YES,
P04,20,HeavyVisual_HeavyHaptic,5,YES,
P04,21,LightVisual_LightHaptic,6,YES,
P04,22,HeavyVisual_MediumHaptic,5,NO,
P04,23,MediumVisual_HeavyHaptic,3,YES,
P04,24,LightVisual_MediumHaptic,3,NO,
P04,25,HeavyVisual_LightHaptic,1,NO,
P04,26,MediumVisual_LightHaptic,4,NO,
P04,27,LightVisual_HeavyHaptic,2,NO,
P04,28,MediumVisual_MediumHaptic,6,YES,
P04,29,MediumVisual_LightHaptic,4,NO,
P04,30,LightVisual_LightHaptic,6,YES,
P04,31,LightVisual_HeavyHaptic,2,NO,
P04,32,LightVisual_MediumHaptic,3,NO,
P04,33,HeavyVisual_HeavyHaptic,5,YES,
P04,34,HeavyVisual_MediumHaptic,3,NO,
P04,35,HeavyVisual_LightHaptic,1,NO,
P04,36,MediumVisual_HeavyHaptic,4,NO,
P05,1,HeavyVisual_HeavyHaptic,7,YES,
P05,2,MediumVisual_LightHaptic,6,YES,
P05,3,LightVisual_LightHaptic,6,YES,
P05,4,LightVisual_HeavyHaptic,4,NO,
P05,5,HeavyVisual_LightHaptic,1,NO,
P05,6,MediumVisual_HeavyHaptic,2,NO,
P05,7,HeavyVisual_MediumHaptic,5,NO,
P05,8,MediumVisual_MediumHaptic,6,YES,
P05,9,LightVisual_MediumHaptic,5,NO,
P05,10,HeavyVisual_HeavyHaptic,6,YES,
P05,11,LightVisual_HeavyHaptic,2,NO,
P05,12,HeavyVisual_MediumHaptic,4,NO,
P05,13,LightVisual_LightHaptic,6,YES,
P05,14,MediumVisual_HeavyHaptic,3,NO,
P05,15,LightVisual_MediumHaptic,5,NO,
P05,16,HeavyVisual_LightHaptic,2,NO,
P05,17,MediumVisual_LightHaptic,4,NO,
P05,18,MediumVisual_MediumHaptic,6,YES,
P05,19,LightVisual_LightHaptic,6,YES,
P05,20,MediumVisual_HeavyHaptic,4,NO,
P05,21,LightVisual_HeavyHaptic,2,NO,
P05,22,HeavyVisual_HeavyHaptic,6,YES,
P05,23,MediumVisual_MediumHaptic,5,YES,
P05,24,HeavyVisual_LightHaptic,1,NO,
P05,25,MediumVisual_LightHaptic,4,NO,
P05,26,LightVisual_MediumHaptic,4,NO,
P05,27,HeavyVisual_MediumHaptic,5,NO,
P05,28,LightVisual_HeavyHaptic,1,NO,
P05,29,MediumVisual_LightHaptic,3,NO,
P05,30,MediumVisual_HeavyHaptic,4,NO,
P05,31,MediumVisual_MediumHaptic,6,YES,
P05,32,LightVisual_LightHaptic,6,YES,
P05,33,HeavyVisual_HeavyHaptic,6,YES,
P05,34,LightVisual_MediumHaptic,4,YES,
P05,35,HeavyVisual_LightHaptic,2,NO,
P05,36,HeavyVisual_MediumHaptic,4,NO,
P06,1,MediumVisual_MediumHaptic,7,YES,
P06,2,LightVisual_HeavyHaptic,2,NO,
P06,3,HeavyVisual_HeavyHaptic,7,YES,
P06,4,HeavyVisual_LightHaptic,4,NO,
P06,5,HeavyVisual_MediumHaptic,4,NO,
P06,6,MediumVisual_LightHaptic,5,NO,
P06,7,MediumVisual_HeavyHaptic,4,NO,
P06,8,LightVisual_MediumHaptic,4,NO,
P06,9,LightVisual_LightHaptic,7,YES,
P06,10,LightVisual_LightHaptic,6,YES,
P06,11,HeavyVisual_HeavyHaptic,7,YES,
P06,12,MediumVisual_HeavyHaptic,4,NO,
P06,13,HeavyVisual_MediumHaptic,4,NO,
P06,14,MediumVisual_LightHaptic,5,NO,
P06,15,LightVisual_MediumHaptic,5,NO,
P06,16,LightVisual_HeavyHaptic,1,YES,
P06,17,HeavyVisual_LightHaptic,1,NO,
P06,18,MediumVisual_MediumHaptic,6,YES,
P06,19,LightVisual_MediumHaptic,5,NO,
P06,20,HeavyVisual_HeavyHaptic,6,YES,
P06,21,HeavyVisual_MediumHaptic,3,NO,
P06,22,MediumVisual_HeavyHaptic,5,NO,
P06,23,MediumVisual_LightHaptic,4,NO,
P06,24,LightVisual_LightHaptic,7,YES,
P06,25,LightVisual_HeavyHaptic,3,NO,
P06,26,HeavyVisual_LightHaptic,1,NO,
P06,27,MediumVisual_MediumHaptic,6,YES,
P06,28,LightVisual_MediumHaptic,4,NO,
P06,29,LightVisual_HeavyHaptic,2,NO,
P06,30,HeavyVisual_MediumHaptic,5,NO,
P06,31,MediumVisual_MediumHaptic,6,YES,
P06,32,HeavyVisual_LightHaptic,1,NO,
P06,33,LightVisual_LightHaptic,5,YES,
P06,34,HeavyVisual_HeavyHaptic,6,YES,
P06,35,MediumVisual_LightHaptic,2,NO,
P06,36,MediumVisual_HeavyHaptic,3,NO,
P07,1,HeavyVisual_LightHaptic,3,NO,
P07,2,LightVisual_LightHaptic,7,YES,
P07,3,LightVisual_HeavyHaptic,3,NO,
P07,4,MediumVisual_MediumHaptic,6,YES,
P07,5,HeavyVisual_HeavyHaptic,6,YES,
P07,6,MediumVisual_HeavyHaptic,5,NO,
P07,7,HeavyVisual_MediumHaptic,6,NO,
P07,8,LightVisual_MediumHaptic,4,NO,
P07,9,MediumVisual_LightHaptic,4,YES,
P07,10,HeavyVisual_LightHaptic,3,YES,
P07,11,LightVisual_MediumHaptic,5,NO,
P07,12,MediumVisual_MediumHaptic,6,YES,
P07,13,LightVisual_HeavyHaptic,2,YES,
P07,14,MediumVisual_HeavyHaptic,4,NO,
P07,15,LightVisual_LightHaptic,6,NO,
P07,16,MediumVisual_LightHaptic,4,NO,
P07,17,HeavyVisual_HeavyHaptic,6,YES,
P07,18,HeavyVisual_MediumHaptic,4,NO,
P07,19,LightVisual_LightHaptic,5,YES,
P07,20,LightVisual_MediumHaptic,4,NO,
P07,21,HeavyVisual_LightHaptic,2,NO,
P07,22,HeavyVisual_HeavyHaptic,6,YES,
P07,23,LightVisual_HeavyHaptic,1,NO,
P07,24,HeavyVisual_MediumHaptic,5,NO,
P07,25,MediumVisual_HeavyHaptic,3,NO,
P07,26,MediumVisual_MediumHaptic,7,YES,
P07,27,MediumVisual_LightHaptic,3,YES,
P07,28,LightVisual_LightHaptic,6,NO,
P07,29,MediumVisual_MediumHaptic,7,YES,
P07,30,LightVisual_MediumHaptic,5,NO,
P07,31,HeavyVisual_HeavyHaptic,6,YES,
P07,32,MediumVisual_LightHaptic,4,NO,
P07,33,HeavyVisual_MediumHaptic,3,NO,
P07,34,LightVisual_HeavyHaptic,2,YES,
P07,35,MediumVisual_HeavyHaptic,4,NO,
P07,36,HeavyVisual_LightHaptic,2,NO,
P08,1,LightVisual_HeavyHaptic,1,NO,
P08,2,LightVisual_LightHaptic,6,YES,
P08,3,HeavyVisual_HeavyHaptic,7,YES,
P08,4,LightVisual_MediumHaptic,5,NO,
P08,5,HeavyVisual_MediumHaptic,4,NO,
P08,6,MediumVisual_HeavyHaptic,4,NO,
P08,7,HeavyVisual_LightHaptic,1,NO,
P08,8,MediumVisual_MediumHaptic,6,YES,
P08,9,MediumVisual_LightHaptic,4,NO,
P08,10,HeavyVisual_MediumHaptic,5,NO,
P08,11,MediumVisual_MediumHaptic,7,YES,
P08,12,LightVisual_LightHaptic,5,YES,
P08,13,HeavyVisual_LightHaptic,2,NO,
P08,14,LightVisual_HeavyHaptic,3,NO,
P08,15,LightVisual_MediumHaptic,3,NO,
P08,16,MediumVisual_HeavyHaptic,4,NO,
P08,17,MediumVisual_LightHaptic,4,NO,
P08,18,HeavyVisual_HeavyHaptic,6,YES,
P08,19,MediumVisual_LightHaptic,4,NO,
P08,20,LightVisual_LightHaptic,5,YES,
P08,21,LightVisual_MediumHaptic,5,YES,
P08,22,HeavyVisual_HeavyHaptic,6,YES,
P08,23,HeavyVisual_LightHaptic,1,NO,
P08,24,MediumVisual_HeavyHaptic,3,YES,
P08,25,HeavyVisual_MediumHaptic,4,NO,
P08,26,MediumVisual_MediumHaptic,6,YES,
P08,27,LightVisual_HeavyHaptic,2,NO,
P08,28,HeavyVisual_HeavyHaptic,6,YES,
P08,29,LightVisual_LightHaptic,6,YES,
P08,30,LightVisual_MediumHaptic,3,NO,
P08,31,HeavyVisual_LightHaptic,2,NO,
P08,32,LightVisual_HeavyHaptic,3,NO,
P08,33,MediumVisual_LightHaptic,4,NO,
P08,34,MediumVisual_HeavyHaptic,3,NO,
P08,35,MediumVisual_MediumHaptic,6,YES,
P08,36,HeavyVisual_MediumHaptic,3,NO,
P09,1,HeavyVisual_HeavyHaptic,7,YES,
P09,2,HeavyVisual_LightHaptic,3,NO,
P09,3,LightVisual_LightHaptic,6,YES,
P09,4,MediumVisual_HeavyHaptic,5,NO,
P09,5,MediumVisual_MediumHaptic,6,YES,
P09,6,LightVisual_MediumHaptic,4,NO,
P09,7,MediumVisual_LightHaptic,5,NO,
P09,8,LightVisual_HeavyHaptic,1,NO,
P09,9,HeavyVisual_MediumHaptic,3,NO,
P09,10,MediumVisual_LightHaptic,5,NO,
P09,11,HeavyVisual_MediumHaptic,5,NO,
P09,12,LightVisual_MediumHaptic,5,NO,
P09,13,LightVisual_LightHaptic,6,YES,
P09,14,LightVisual_HeavyHaptic,1,NO,
P09,15,MediumVisual_MediumHaptic,7,YES,
P09,16,HeavyVisual_HeavyHaptic,6,YES,
P09,17,MediumVisual_HeavyHaptic,4,YES,
P09,18,HeavyVisual_LightHaptic,1,NO,
P09,19,LightVisual_LightHaptic,5,NO,
P09,20,MediumVisual_HeavyHaptic,3,NO,
P09,21,LightVisual_MediumHaptic,4,NO,
P09,22,HeavyVisual_HeavyHaptic,6,YES,
P09,23,HeavyVisual_LightHaptic,1,NO,
P09,24,MediumVisual_MediumHaptic,6,YES,
P09,25,MediumVisual_LightHaptic,4,NO,
P09,26,LightVisual_HeavyHaptic,1,NO,
P09,27,HeavyVisual_MediumHaptic,3,NO,
P09,28,LightVisual_HeavyHaptic,2,NO,
P09,29,MediumVisual_MediumHaptic,7,YES,
P09,30,LightVisual_LightHaptic,6,YES,
P09,31,MediumVisual_LightHaptic,4,NO,
P09,32,HeavyVisual_HeavyHaptic,6,YES,
P09,33,LightVisual_MediumHaptic,4,NO,
P09,34,HeavyVisual_LightHaptic,2,NO,
P09,35,MediumVisual_HeavyHaptic,4,NO,
P09,36,HeavyVisual_MediumHaptic,3,NO,
P10,1,HeavyVisual_HeavyHaptic,6,YES,
P10,2,LightVisual_MediumHaptic,4,NO,
P10,3,LightVisual_LightHaptic,7,YES,
P10,4,HeavyVisual_MediumHaptic,3,NO,
P10,5,MediumVisual_LightHaptic,4,NO,
P10,6,LightVisual_HeavyHaptic,3,NO,
P10,7,MediumVisual_HeavyHaptic,5,NO,
P10,8,HeavyVisual_LightHaptic,3,NO,
P10,9,MediumVisual_MediumHaptic,7,NO,
P10,10,LightVisual_LightHaptic,7,YES,
P10,11,HeavyVisual_LightHaptic,3,NO,
P10,12,MediumVisual_HeavyHaptic,3,NO,
P10,13,LightVisual_HeavyHaptic,1,NO,
P10,14,MediumVisual_MediumHaptic,6,YES,
P10,15,MediumVisual_LightHaptic,6,YES,
P10,16,HeavyVisual_HeavyHaptic,7,NO,
P10,17,LightVisual_MediumHaptic,5,NO,
P10,18,HeavyVisual_MediumHaptic,3,NO,
P10,19,LightVisual_MediumHaptic,4,NO,
P10,20,HeavyVisual_HeavyHaptic,6,YES,
P10,21,HeavyVisual_MediumHaptic,3,NO,
P10,22,LightVisual_HeavyHaptic,2,NO,
P10,23,MediumVisual_LightHaptic,3,NO,
P10,24,MediumVisual_HeavyHaptic,3,YES,
P10,25,HeavyVisual_LightHaptic,2,NO,
P10,26,LightVisual_LightHaptic,6,YES,
P10,27,MediumVisual_MediumHaptic,6,YES,
P10,28,MediumVisual_HeavyHaptic,4,NO,
P10,29,MediumVisual_LightHaptic,4,NO,
P10,30,LightVisual_LightHaptic,6,YES,
P10,31,LightVisual_HeavyHaptic,2,NO,
P10,32,HeavyVisual_HeavyHaptic,6,YES,
P10,33,LightVisual_MediumHaptic,4,NO,
P10,34,HeavyVisual_LightHaptic,2,NO,
